id	institutionCode	collectionCode	basisOfRecord	occurrenceID	catalogNumber	recordedBy	individualCount	year	continent	country	locality	minimumElevationInMeters	maximumElevationInMeters	decimalLatitude	decimalLongitude	scientificName	kingdom	phylum	class	order	family	taxonRank	vernacularName	taxonRemarks
urn:catalog:ARCOS:ECHUYA_2012:48	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:48	48	"MARTIN,JAMES"	3	2012	Africa	Uganda	Echuya Forest	2466	2466	-1.259351	29.817938	Laniarius poensis	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	MALACONOTIDAE	species	Moutain black boubou	Status: Least Concern
urn:catalog:ARCOS:ECHUYA_2012:49	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:49	49	"MARTIN,JAMES"	1	2012	Africa	Uganda	Echuya Forest	2466	2466	-1.259351	29.817938	Andropadus latirostris	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	PYCNONOTIDAE	species	Yellow-whiskered greenbul	Status: Least Concern
urn:catalog:ARCOS:ECHUYA_2012:50	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:50	50	"MARTIN,JAMES"	1	2012	Africa	Uganda	Echuya Forest	2466	2466	-1.259351	29.817938	Turdus olivaceus	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	TURDIDAE	species	Olive thrush	Status: Least Concern
urn:catalog:ARCOS:ECHUYA_2012:51	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:51	51	"MARTIN,JAMES"	1	2012	Africa	Uganda	Echuya Forest	2466	2466	-1.259351	29.817938	Malaconotus dohertyi	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	MALACONOTIDAE	species	Dohety's bushshrike	Status: Least Concern
urn:catalog:ARCOS:ECHUYA_2012:52	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:52	52	"MARTIN,JAMES"	2	2012	Africa	Uganda	Echuya Forest	2466	2466	-1.259351	29.817938	Cisticola chubbi	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	CISTICOLIDAE	species	Chubb's cisticola	Status: Least Concern
urn:catalog:ARCOS:ECHUYA_2012:53	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:53	53	"MARTIN,JAMES"	1	2012	Africa	Uganda	Echuya Forest	2436	2436	-1.260533	29.819215	Laniarius poensis	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	MALACONOTIDAE	species	Moutain black boubou	Status: Least Concern
urn:catalog:ARCOS:ECHUYA_2012:54	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:54	54	"MARTIN,JAMES"	1	2012	Africa	Uganda	Echuya Forest	2436	2436	-1.260533	29.819215	Pycononotus barbatus	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	PYCNONOTIDAE	species	Common bulbul	Status: Least Concern
urn:catalog:ARCOS:ECHUYA_2012:55	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:55	55	"MARTIN,JAMES"	1	2012	Africa	Uganda	Echuya Forest	2436	2436	-1.260533	29.819215	Dryoscopus gambensis	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	MALACONOTIDAE	species	Nothern puffback	Status: Least Concern
urn:catalog:ARCOS:ECHUYA_2012:56	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:56	56	"MARTIN,JAMES"	2	2012	Africa	Uganda	Echuya Forest	2436	2436	-1.260533	29.819215	Andropadus latirostris	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	PYCNONOTIDAE	species	Yellow-whiskered greenbul	Status: Least Concern
urn:catalog:ARCOS:ECHUYA_2012:57	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:57	57	"MARTIN,JAMES"	1	2012	Africa	Uganda	Echuya Forest	2436	2436	-1.260533	29.819215	Lophaetus occipitalis	ANIMALIA	CHORDATA	BIRDS	ACCIPITRIFORMES	ACCIPITRIDAE	species	Long-crested eagle	Status: Least Concern
urn:catalog:ARCOS:ECHUYA_2012:58	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:58	58	"CLAUDIEN,ZOREKA"		2012	Africa	Uganda	Echuya Forest	2408	2408	-1.242785	29.811807	Pycononotus barbatus	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	PYCNONOTIDAE	species	Common bulbul	Status: Least Concern
urn:catalog:ARCOS:ECHUYA_2012:59	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:59	59	"CLAUDIEN,ZOREKA"		2012	Africa	Uganda	Echuya Forest	2408	2408	-1.242785	29.811807	Ploceus baglafepht	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	PLOCEIDAE	species	Baglafecht weaver	Status: Least Concern
urn:catalog:ARCOS:ECHUYA_2012:60	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:60	60	"CLAUDIEN,ZOREKA"		2012	Africa	Uganda	Echuya Forest	2408	2408	-1.242785	29.811807	Melaenornis fischeri	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	MUSCICAPIDAE	species	White-eyed slaty flycatcher	Status: Least Concern
urn:catalog:ARCOS:ECHUYA_2012:61	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:61	61	"CLAUDIEN,ZOREKA"		2012	Africa	Uganda	Echuya Forest	2408	2408	-1.242785	29.811807	Cinnyris venusta	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	NECTARINIIDAE	species	Variable Sunbird	Status: Least Concern
urn:catalog:ARCOS:ECHUYA_2012:62	ARCOS	ECHUYA_2012	HumanObservation	urn:catalog:ARCOS:ECHUYA_2012:62	62	"CLAUDIEN,ZOREKA"		2012	Africa	Uganda	Echuya Forest	2408	2408	-1.242785	29.811807	Musciacapa adusta	ANIMALIA	CHORDATA	BIRDS	PASSERIFORMES	MUSCICAPIDAE	species	Dusky flycatcher	Status: Least Concern
